created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 03 10:42:05 +0000 2021;1356915859080376320;"Fitur ini membuat nasabah WELMA BCA bisa langsung mendaftarkan SID-nya saat masuk aplikasi. https://t.co/6SXacQkSEW";0;0;1;2;in;759692754985242625;1356915859080376320;kumparan;https://twitter.com/kumparan/status/1356915859080376320
Tue Feb 02 10:39:54 +0000 2021;1356552922113470466;"@alvi71y Dengan senang hati, kami infokan kpd Bpk Alvi. Kami infokan kembali bahwa dikhawatirkan nomor rekening Tahapan BCA tersebut tidak berada dalam 1 CIN sehingga tidak muncul di aplikasi Welma. Karena Welma menampilkan seluruh nomor rekening yang berada dalam (1/3) ^Beno";0;0;0;1;in;620977821;1356499751395446784;HaloBCA;https://twitter.com/HaloBCA/status/1356552922113470466
Tue Feb 02 10:39:54 +0000 2021;1356552921819848709;"@alvi71y 1 CIN nasabah yang sama dengan nomor kartu ATM (yang dikaitkan saat “Connect My Account” di layar portofolio atau layar profil Welma) yang diinput. Kami sarankan konfirmasi ke Cabang BCA asal buka rekening, dengan membawa dok KTP asli dan kepemilikan (2/3) ^Beno";0;0;0;1;in;620977821;1356499751395446784;HaloBCA;https://twitter.com/HaloBCA/status/1356552921819848709
Thu Jan 28 05:20:28 +0000 2021;1354660591454089217;"@bellebe43206308 Dengan senang hati kami informasikan Bpk/Ibu Pelanggan jika terkait kegiatan Sales Prom​otion Counter Welma Activation maka kami informasikan terkait hadiah CashPrize akan dikirimkan ke rekening nasabah oleh BCA KP (Kantor Pusat) estimasi (1/2) ^Nena";0;0;0;0;in;620977821;1354658641681522692;HaloBCA;https://twitter.com/HaloBCA/status/1354660591454089217
Wed Jan 27 13:16:41 +0000 2021;1354418050745982978;"@Livingonlyonce1 yang terdaftar di sistem BCA, dimana pembuatannya dapat dilakukan melalui: - Seluruh KCU dan KCP BCA yang memiliki layanan Prioritas. - Halo BCA. - Pendaftaran Data Investor Produk Obligasi melalui Welma (Efektif 23 Nov 2020). :) Tks (2/2) ^Beno";0;0;0;0;in;620977821;1354417346316787712;HaloBCA;https://twitter.com/HaloBCA/status/1354418050745982978
Tue Jan 26 11:17:25 +0000 2021;1354025647740383233;"@MyRepublicInfo @MyRepublicID oke min makasih udah selesai. mimin lagi pake my rep? coba download welma . wealth management punya bca. gakbisa di akses";0;0;0;0;in;737856996;1346730170523078657;Faris_sio;https://twitter.com/Faris_sio/status/1354025647740383233
Tue Jan 26 05:52:44 +0000 2021;1353943937422135297;"@emsool Welma Memiliki SID Obligasi dengan digit yang diawali IDD dan terdaftar pada sistem BCA* Memiliki rekening surat berharga di BCA Kustodian* Catatan SID Obligasi, rekening dana, dan rekening surat berharga yang digunakan untuk transaksi ORI019 harus atas (2/3) ^Naomi";0;0;0;0;in;620977821;1353942926691246080;HaloBCA;https://twitter.com/HaloBCA/status/1353943937422135297
Fri Jan 22 12:49:09 +0000 2021;1352599180515172352;"@shafirapcu Utk pencairan RDN ke rekening BCA tdk bisa langsung melalui Welma ya, Ibu Shafira. Sehingga tdk ada ketentuan waktunya. :) Tks ^Adin";0;0;0;0;in;620977821;1352589954828832772;HaloBCA;https://twitter.com/HaloBCA/status/1352599180515172352
Fri Jan 22 12:15:42 +0000 2021;1352590763368927235;"@HaloBCA Betul dari rekening RDN ke rekening BCA via welma. Masuk ke rekening BCAnya brp hari kerja ya min?";1;9;0;0;in;44326763;1352589954828832772;shafirapcu;https://twitter.com/shafirapcu/status/1352590763368927235
Mon Jan 11 11:40:04 +0000 2021;1348595529521876993;"The moment BCA Mobile integrates its Welma into the mobile banking app - I'll move everything. Again, I like the idea to centralize my finance. Nowadays people have to juggle between 3-5 apps and to be honest I'm not a fan of this.";0;0;0;0;en;64318147;1348595529521876993;themandowilson;https://twitter.com/themandowilson/status/1348595529521876993
Sat Jan 09 06:11:29 +0000 2021;1347788061535424516;"@AndronikusRL kalo BCA bisa lewat aplikasi Welma";0;0;0;0;in;141813909;1347564094572822528;zakialda;https://twitter.com/zakialda/status/1347788061535424516
Fri Jan 08 05:25:31 +0000 2021;1347414105938821121;"@jerryssanusi Sebagai informasi kriteria rekening yang dapat digunakan untuk melakukan transaksi SBN Pasar Perdana melalui Welma adalah rekening nasabah dalam mata uang IDR yang telah dikaitkan dengan BCA ID. Mohon kesediaan Bapak mencoba kembali secara berkala (1/2) ^Naomi";0;0;0;0;in;620977821;1347402621955395584;HaloBCA;https://twitter.com/HaloBCA/status/1347414105938821121
Fri Jan 08 04:30:50 +0000 2021;1347400344976850944;"@martinbandung Sebagai informasi, berikut kriteria rekening yang dapat digunakan untuk melakukan transaksi Reksa Dana dan SBN Pasar Perdana melalui Welma. SBN Pasar Perdana : Rekening nasabah dalam mata uang IDR yang telah dikaitkan dengan BCA ID. Reksa Dana : (1/2) ^Naomi";0;0;0;0;in;620977821;1347395249639886850;HaloBCA;https://twitter.com/HaloBCA/status/1347400344976850944
Fri Jan 08 04:10:35 +0000 2021;1347395249639886850;"@HaloBCA kalau aplikasi WELMA , bank kustodian nya siapa? apakah BCA yang menjadi bank kustodian WELMA?";1;10;0;0;in;128892543;1347395249639886850;martinbandung;https://twitter.com/martinbandung/status/1347395249639886850
Thu Jan 07 11:45:56 +0000 2021;1347147453183660035;"@martinbandung Jika yg dimaksudkan BCA Sekuritas dgn Welma BCA, untuk hal tersebut aplikasinya berbeda ya.  :) Tks ^wandi";0;0;0;0;in;620977821;1347145496691789824;HaloBCA;https://twitter.com/HaloBCA/status/1347147453183660035
Tue Jan 05 02:07:14 +0000 2021;1346277045723037696;"6. Cara investasi makin mudah. #InvestasiReksadana bisa dilakukan bahkan dari ponsel, misalnya menggunakan aplikasi Welma dari BCA.";0;1;0;0;in;2837798976;1346276810036711424;smartmoney_co;https://twitter.com/smartmoney_co/status/1346277045723037696
Fri Dec 25 05:59:49 +0000 2020;1342349307404460033;"@hrdbacot Aplikasi welma dari bca buat beli ori . https://t.co/GA8hm25sam";0;1;1;0;in;1230833245316472832;1342332942907965440;Kln46799324;https://twitter.com/Kln46799324/status/1342349307404460033
Fri Dec 18 23:26:43 +0000 2020;1340076055374176256;"@HaloBCA berapa lama proses pembelian Reksadana melalui applikasi Welma BCA normalnya?";1;4;0;0;in;209993709;1340076055374176256;nu6i3;https://twitter.com/nu6i3/status/1340076055374176256
Tue Dec 15 11:48:14 +0000 2020;1338813112502259713;"@Saviria_MA Mohon maaf atas ketidaknyamanan yg Ibu alami. Kami sarankan Ibu Saviria melakukan pengecekan status transaksi di Welma. Silakan hubungi layanan Halo BCA 1500888, dibutuhkan verifikasi data.  Tks :) ^Beno";0;0;0;0;in;620977821;1338802529451175938;HaloBCA;https://twitter.com/HaloBCA/status/1338813112502259713
Tue Dec 08 03:30:48 +0000 2020;1336151215189729282;"Sekarang investasi lewat aplikasi Welma dari BCA, kamu bisa jual beli Obligasi langsung dari HP! Pilihannya beragam, mulai dari jangka waktu pendek sampai puluhan tahun.  Yuk download aplikasi Welma di Google Play atau App store. Info lebih lanjut, cek: https://t.co/m2BcYNS3yz https://t.co/fIQ8HTG11k";0;0;0;1;in;759692754985242625;1336151215189729282;kumparan;https://twitter.com/kumparan/status/1336151215189729282
Sat Nov 28 16:00:25 +0000 2020;1332715980556943361;"Artikel ini membahas mengenai Panduan Mengaktivasi welma BCA Dalam Bisnis Dan Investasi  Selengkapnya lihat disini  https://t.co/sfsvWBy7tf https://t.co/6c8v7C8o7n";0;0;0;0;in;2562856778;1332715980556943361;seon_indonesia;https://twitter.com/seon_indonesia/status/1332715980556943361
Fri Nov 20 07:50:28 +0000 2020;1329693580416278531;"@iambadung BCA juga punya Welma https://t.co/tnrZDSRdwc";0;0;0;0;in;33539758;1329685815241306120;FSulgani;https://twitter.com/FSulgani/status/1329693580416278531
Mon Nov 16 10:11:33 +0000 2020;1328279530977382400;"@Caisprecious @thatfand3u @collegemenfess aku di bank ndeer, lebih enak aja terus nyairinnya juga lebih cepeet, skrg kalo beli di bank juga bisa langsung pake aplikasi ko kaya bca pake welma";0;1;0;1;in;876606040749383680;1328108005544448000;fallintojoong;https://twitter.com/fallintojoong/status/1328279530977382400
Sun Nov 15 14:51:26 +0000 2020;1327987581271769090;"@danselstory Indonesia (WNI). -Memiliki rekening dana di BCA (tidak joint account) -Memiliki User ID, Password, dan Key KlikBCA Individu (KBI) atau memiliki BCA ID dan Password untuk Welma. -Memiliki SID Obligasi dengan digit yang diawali IDD dan (2/4) ^sihab";0;0;0;0;in;620977821;1327956040902615044;HaloBCA;https://twitter.com/HaloBCA/status/1327987581271769090
Sun Nov 15 14:30:40 +0000 2020;1327982352891449344;"@danselstory Kami informasikan saat ini ada penawaran Sukuk tabungan Seri ST-007 (masa Registrasi 4- 25 November 2020). Untuk pembeliannya tidak harus di Cabang BCA namun bisa dilakukan secara online melalui Aplikasi Welma dan KlikBCA Individu (KBI) Informasi (1/2) ^Aldi";0;0;0;0;in;620977821;1327956040902615044;HaloBCA;https://twitter.com/HaloBCA/status/1327982352891449344
